OBJECTID,DevEUI,Temperature,Humidity,VDD,Distance,Pressure,Timestamp
12421,a81758fffe059fdc,16.4,40,3626,5000,1028.986,2021/05/29 22:18:10.345+00
12422,a81758fffe03e451,14.4,70,3611,2686,,2021/05/29 22:24:00.220+00
12423,a81758fffe037506,23.7,43,,,,2021/05/29 22:31:06.492+00
12424,a81758fffe059fdc,16.1,40,3626,5000,1029.244,2021/05/29 22:33:10.318+00
12425,a81758fffe03e451,14.2,70,3609,2688,,2021/05/29 22:34:00.180+00
12426,a81758fffe037506,23.7,43,,,,2021/05/29 22:46:06.432+00
12427,a81758fffe059fdc,15,41,3626,5000,1029.315,2021/05/29 22:48:10.276+00
12428,a81758fffe03e451,14,70,3611,2685,,2021/05/29 22:54:00.141+00
12429,a81758fffe037506,23.6,43,,,,2021/05/29 23:01:06.371+00
12430,a81758fffe059fdc,14.5,40,3626,5000,1029.59,2021/05/29 23:03:10.248+00
12431,a81758fffe03e451,14,70,3609,2685,,2021/05/29 23:04:00.081+00
12432,a81758fffe03e451,13.9,70,3609,2688,,2021/05/29 23:14:00.060+00
12433,a81758fffe037506,23.7,43,,,,2021/05/29 23:16:06.311+00
12434,a81758fffe03e451,13.8,70,3609,2687,,2021/05/29 23:24:00+00
12435,a81758fffe059fdc,13.1,41,3626,5000,1029.59,2021/05/29 23:33:10.189+00
12436,a81758fffe03e451,13.6,70,3609,2687,,2021/05/29 23:43:59.909+00
12437,a81758fffe037506,23.7,43,,,,2021/05/29 23:46:06.186+00
12438,a81758fffe059fdc,12.6,41,3626,5000,1029.699,2021/05/29 23:48:10.161+00
12439,a81758fffe03e451,13.4,70,3611,2683,,2021/05/29 23:53:59.927+00
12440,a81758fffe03e451,13.3,70,3609,2683,,2021/05/30 00:03:59.892+00
12441,a81758fffe03e451,13.2,70,3609,2691,,2021/05/30 00:13:59.828+00
12442,a81758fffe037506,23.6,43,,,,2021/05/30 00:16:06.067+00
12443,a81758fffe059fdd,20.3,38,3629,529,1024.378,2021/05/30 00:23:04.141+00
12444,a81758fffe059fdc,11.9,42,3626,5000,1030.436,2021/05/30 00:33:10.076+00
12445,a81758fffe03e451,13.1,70,3609,2684,,2021/05/30 00:33:59.728+00
12446,a81758fffe059fdd,20.3,38,3629,533,1024.73,2021/05/30 00:38:04.106+00
12447,a81758fffe03e451,13,70,3609,2687,,2021/05/30 00:43:59.786+00
12448,a81758fffe037506,23.6,43,,,,2021/05/30 00:46:05.948+00
12449,a81758fffe059fdc,11.8,42,3626,5000,1030.783,2021/05/30 00:48:10.050+00
12450,a81758fffe03e451,12.9,70,3609,2685,,2021/05/30 00:53:59.668+00
12451,a81758fffe037506,23.7,43,,,,2021/05/30 01:01:05.892+00
12452,a81758fffe059fdc,11.3,42,3626,5000,1030.999,2021/05/30 01:03:10.020+00
12453,a81758fffe03e451,12.8,70,3609,2684,,2021/05/30 01:03:59.629+00
12454,a81758fffe037506,23.7,43,,,,2021/05/30 01:16:05.831+00
12455,a81758fffe059fdc,11.1,43,3626,5000,1031.526,2021/05/30 01:18:09.994+00
12456,a81758fffe03e451,12.6,71,3609,2685,,2021/05/30 01:23:59.581+00
12457,a81758fffe037506,23.7,43,,,,2021/05/30 01:31:05.768+00
12458,a81758fffe059fdc,9.9,43,3623,5000,1031.786,2021/05/30 01:33:09.968+00
12459,a81758fffe03e451,12.4,71,3609,2682,,2021/05/30 01:33:59.560+00
12460,a81758fffe03e451,12.3,71,3609,2681,,2021/05/30 01:43:59.530+00
12461,a81758fffe037506,23.7,43,,,,2021/05/30 01:46:05.713+00
12462,a81758fffe059fdc,9.1,44,3623,5000,1031.688,2021/05/30 01:48:09.944+00
12463,a81758fffe03e451,12.2,71,3609,2685,,2021/05/30 01:53:59.470+00
